Demand responsive,U,U,U,U,U,"14,490","16,471","17,879","20,695","23,527","28,729","29,352","17,738","19,820","20,042","20,761","22,087","24,668","24,808","25,873","26,333","28,346","29,406","29,433","30,773","34,235","33,555","31,846","31,929","31,433","31,359","32,490","33,225","33,012"
Otheri,U,U,U,U,U,867,"1,176","1,568","1,821","2,268","2,462","2,809","5,344","6,245","7,105","7,467","7,705","8,137","8,033","8,626","10,544","11,622","12,454","12,953","14,953","17,766","18,066","18,965","16,996","17,793","17,994","18,601","17,042","18,104"
Rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Class I, freight cars","1,658,292","1,478,005","1,423,921","1,359,459","1,168,114","867,070","658,902","633,489","605,189","587,033","590,930","583,486","570,865","568,493","575,604","579,140","560,154","499,860","477,751","467,063","473,773","474,839","475,415","460,172","450,297","416,180","397,730","380,699","380,641","373,838","371,642","330,996","315,227","306,268"
"Class I, locomotive","29,031","27,780","27,077","27,846","28,094","22,548","18,835","18,344","18,004","18,161","18,505","18,812","19,269","19,684","20,261","20,256","20,028","19,745","20,506","20,774","22,015","22,779","23,732","24,143","24,003","24,045","23,893","24,250","24,707","25,033","25,916","26,574","26,716","26,547"
Nonclass I freight cars,"32,104","37,164","29,787","29,407","102,161","111,086","103,527","97,492","90,064","88,513","86,120","84,724","87,364","116,108","121,659","126,762","132,448","125,470","130,590","124,580","120,169","120,195","120,688","120,463","109,487","108,233","101,755","95,972","92,742","88,122",N,N,N,N
Car companies and shippers freight cars,"275,090","285,493","330,473","334,739","440,552","443,530","449,832","458,679","477,883","497,586","515,362","550,717","582,344","585,818","618,404","662,934","688,194","688,806","691,329","687,337","693,978","717,211","750,404","805,074","833,188","839,020","809,544","806,554","842,802","873,679",N,N,N,N
"Amtrak, passenger train car",U,U,U,"1,913","2,128","1,854","1,863","1,786","1,796","1,853","1,852","1,722","1,730","1,728","1,962","1,992","1,894","2,084","2,896","1,623","1,211","1,186","1,191","1,164","1,177","1,214","1,274","1,301","2,090","1,447","1,419","1,428","1,402","1,405"
"Amtrak, locomotive",U,U,U,355,419,291,318,316,336,360,338,313,299,332,345,329,378,401,372,442,276,258,319,270,278,274,282,287,485,418,428,423,434,419
Water ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nonself-propelled vesselsj,k","16,777","17,033","19,377","25,515","31,662","33,597","33,597",U,"30,899","30,785","30,730","31,209","32,811","33,011","33,509","33,387","31,360","33,042","32,381","31,335","31,296","33,152","32,211","31,654","31,238","31,008","31,412","31,498","31,550","31,081","31,043","31,748","33,212","33,128"
"Self-propelled vesselsn,l","6,543","6,083","6,455","6,144","7,126","7,522","8,236",U,"8,311","8,323","8,334","8,281","8,293","8,408","8,523","8,379","8,202","8,546","8,621","8,648","8,994","8,976","8,898","9,041","9,063","9,101","9,100","9,023","8,980","8,918","9,039","9,043","9,462","9,411"
"Oceangoing self-propelled vessels (1,000 gross tons and over)m,o","2,926","2,376","1,579",857,864,737,636,619,603,565,543,509,495,477,470,463,282,274,261,246,233,231,229,220,225,217,221,214,198,187,179,170,169,176
Recreational boatsn,"2,450,484","4,138,140","5,128,345","7,303,286","8,577,857","9,589,483","10,996,253","11,068,440","11,132,386","11,282,736","11,429,585","11,734,710","11,877,938","12,312,982","12,565,930","12,738,271","12,782,143","12,876,346","12,854,054","12,794,616","12,781,476","12,942,414","12,746,126","12,875,568","12,692,892","12,721,541","12,438,926","12,173,935","12,101,936","12,013,496","11,804,002","11,867,049","11,861,811","11,961,568"
